State,federal_land_pcnt,change_1990,label
Alabama,2.70%,-6.80%,Alabama: -6.8%
Alaska,60.90%,-9.40%,Alaska: -9.4%
Arizona,38.60%,-18.40%,Arizona: -18.4%
Arkansas,9.40%,0.40%,Arkansas: 0.4%
California,45.40%,-1.50%,California: -1.5%
Colorado,36.20%,2.20%,Colorado: 2.2%
Connecticut,0.30%,34.30%,Connecticut: 34.3%
Delaware,2.40%,7.90%,Delaware: 7.9%
District of Columbia,24.70%,1.20%,District of Columbia: 1.2%
Florida,12.90%,3.40%,Florida: 3.4%
Georgia,5.20%,1.30%,Georgia: 1.3%
Hawaii,20.20%,16.00%,Hawaii: 16%
Idaho,61.90%,0.70%,Idaho: 0.7%
Illinois,1.20%,20.00%,Illinois: 20%
Indiana,1.70%,40.20%,Indiana: 40.2%
Iowa,0.30%,193.30%,Iowa: 193.3%
Kansas,0.50%,-9.70%,Kansas: -9.7%
Kentucky,4.30%,13.80%,Kentucky: 13.8%
Louisiana,4.70%,-14.20%,Louisiana: -14.2%
Maine,1.50%,70.80%,Maine: 70.8%
Maryland,3.20%,18.20%,Maryland: 18.2%
Massachusetts,1.20%,-1.00%,Massachusetts: -1.0%
Michigan,10.00%,-0.30%,Michigan: -0.3%
Minnesota,6.80%,-1.20%,Minnesota: -1.2%
Mississippi,5.10%,5.00%,Mississippi: 5%
Missouri,3.80%,2.20%,Missouri: 2.2%
Montana,29.00%,1.30%,Montana: 1.3%
Nebraska,1.10%,3.40%,Nebraska: 3.4%
Nevada,80.10%,-6.20%,Nevada: -6.2%
New Hampshire,14.00%,9.70%,New Hampshire: 9.7%
New Jersey,3.60%,17.40%,New Jersey: 17.4%
New Mexico,31.70%,-0.30%,New Mexico: -0.3%
New York,0.80%,7.20%,New York: 7.2%
North Carolina,7.80%,6.30%,North Carolina: 6.3%
North Dakota,3.90%,0.40%,North Dakota: 0.4%
Ohio,1.20%,30.30%,Ohio: 30.3%
Oklahoma,1.50%,35.10%,Oklahoma: 35.1%
Oregon,52.30%,0.60%,Oregon: 0.6%
Pennsylvania,2.20%,1.80%,Pennsylvania: 1.8%
Rhode Island,0.70%,45.10%,Rhode Island: 45.1%
South Carolina,4.50%,-1.80%,South Carolina: -1.8%
South Dakota,5.40%,0.50%,South Dakota: 0.5%
Tennessee,4.80%,30.70%,Tennessee: 30.7%
Texas,1.90%,21.90%,Texas: 21.9%
Utah,63.10%,-0.90%,Utah: -0.9%
Vermont,7.80%,34.40%,Vermont: 34.4%
Virginia,9.30%,2.30%,Virginia: 2.3%
Washington,28.60%,1.70%,Washington: 1.7%
West Virginia,7.40%,6.70%,West Virginia: 6.7%
Wisconsin,5.30%,-6.40%,Wisconsin: -6.4%
Wyoming,46.70%,-3.30%,Wyoming: -3.3%
