State,family,state_bird,simplified,label
Alabama,Picidae,Yellowhammer (Northern Flicker),Yellowhammer (Northern Flicker),Alabama: Yellowhammer (Northern Flicker)
Alaska,Phasianidae,Willow Ptarmigan,Willow Ptarmigan,Alaska: Willow Ptarmigan
Arizona,Troglodytidae,Cactus Wren,Cactus Wren,Arizona: Cactus Wren
Arkansas,Mimidae,Northern Mockingbird,Mockingbird,Arkansas: Northern Mockingbird
California,Phasianidae,California Valley Quail,California Valley Quail,California: California Valley Quail
Colorado,Passerellidae,Lark Bunting,Lark Bunting,Colorado: Lark Bunting
Connecticut,Turdidae,American Robin,American Robin,Connecticut: American Robin
Delaware,Phasianidae,Blue Hen Chicken,Chicken,Delaware: Blue Hen Chicken
Florida,Mimidae,Mockingbird,Mockingbird,Florida: Mockingbird
Georgia,Mimidae,Brown Thrasher,Brown Thrasher,Georgia: Brown Thrasher
Hawaii,Anatidae,Nene,Nene,Hawaii: Nene
Idaho,Turdidae,Mountain Bluebird,Bluebird,Idaho: Mountain Bluebird
Illinois,Cardinalidae,Cardinal,Cardinal,Illinois: Cardinal
Indiana,Cardinalidae,Cardinal,Cardinal,Indiana: Cardinal
Iowa,Fringillidae,Eastern Goldfinch,Goldfinch,Iowa: Eastern Goldfinch
Kansas,Icteridae,Western Meadowlark,Western Meadowlark,Kansas: Western Meadowlark
Kentucky,Cardinalidae,Cardinal,Cardinal,Kentucky: Cardinal
Louisiana,Pelecanidae,Eastern Brown Pelican,Eastern Brown Pelican,Louisiana: Eastern Brown Pelican
Maine,Paridae,Chickadee,Chickadee,Maine: Chickadee
Maryland,Icteridae,Baltimore Oriole,Baltimore Oriole,Maryland: Baltimore Oriole
Massachusetts,Paridae,Chickadee,Chickadee,Massachusetts: Chickadee
Michigan,Turdidae,American Robin,American Robin,Michigan: American Robin
Minnesota,Gaviidae,Common Loon,Common Loon,Minnesota: Common Loon
Mississippi,Mimidae,Mockingbird,Mockingbird,Mississippi: Mockingbird
Missouri,Turdidae,Bluebird,Bluebird,Missouri: Bluebird
Montana,Icteridae,Western Meadowlark,Western Meadowlark,Montana: Western Meadowlark
Nebraska,Icteridae,Western Meadowlark,Western Meadowlark,Nebraska: Western Meadowlark
Nevada,Turdidae,Mountain Bluebird,Bluebird,Nevada: Mountain Bluebird
New Hampshire,Fringillidae,Purple Finch,Purple Finch,New Hampshire: Purple Finch
New Jersey,Fringillidae,Eastern Goldfinch,Goldfinch,New Jersey: Eastern Goldfinch
New Mexico,Cuculidae,Roadrunner,Roadrunner,New Mexico: Roadrunner
New York,Turdidae,Eastern Bluebird,Bluebird,New York: Eastern Bluebird
North Carolina,Cardinalidae,Cardinal,Cardinal,North Carolina: Cardinal
North Dakota,Icteridae,Western Meadowlark,Western Meadowlark,North Dakota: Western Meadowlark
Ohio,Cardinalidae,Cardinal,Cardinal,Ohio: Cardinal
Oklahoma,Tyrannidae,Scissor-tailed Flycatcher,Scissor-tailed Flycatcher,Oklahoma: Scissor-tailed Flycatcher
Oregon,Icteridae,Western Meadowlark,Western Meadowlark,Oregon: Western Meadowlark
Pennsylvania,Phasianidae,Ruffed Grouse,Ruffed Grouse,Pennsylvania: Ruffed Grouse
Rhode Island,Phasianidae,Rhode Island Red Hen,Chicken,Rhode Island: Rhode Island Red Hen
South Carolina,Troglodytidae,Carolina Wren,Carolina Wren,South Carolina: Carolina Wren
South Dakota,Phasianidae,Ring-necked Pheasant,Ring-necked Pheasant,South Dakota: Ring-necked Pheasant
Tennessee,Mimidae,Mockingbird,Mockingbird,Tennessee: Mockingbird
Texas,Mimidae,Mockingbird,Mockingbird,Texas: Mockingbird
Utah,Laridae,Ring-billed Gull,Ring-billed Gull,Utah: Ring-billed Gull
Vermont,Turdidae,Hermit Thrush,Hermit Thrush,Vermont: Hermit Thrush
Virginia,Cardinalidae,Cardinal,Cardinal,Virginia: Cardinal
Washington,Fringillidae,Willow Goldfinch,Goldfinch,Washington: Willow Goldfinch
West Virginia,Cardinalidae,Cardinal,Cardinal,West Virginia: Cardinal
Wisconsin,Turdidae,American Robin,American Robin,Wisconsin: American Robin
Wyoming,Icteridae,Western Meadowlark,Western Meadowlark,Wyoming: Western Meadowlark
